SchoolYear,DistrictCode,SchoolCode,DistrictName,DistrictType,SchoolName,SchoolType,Street1,Street2,City,State,Zip,County,LowestGrade,HighestGrade,EducationLevel,HasEC,HasPK,HasKN,HasElementaryGrade,HasMiddleGrade,HasHighGrade,IsUngraded,Geocoded Location
2016,10,611,Caesar Rodney School District,Regular,J. Ralph McIlvaine Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2016,10,612,Caesar Rodney School District,Regular,Major George S. Welch Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,01,05,Elementary,0,0,0,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2016,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2016,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2016,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2016,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Dover High Drive,--,Dover,DE,19904,Kent,09,12,High,0,0,0,0,0,1,0,"One Dover High Drive
Dover, DE 19904
"
2016,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2016,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2016,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2016,24,696,Smyrna School District,Regular,Clayton Intermediate School,PUBLIC,86 Sorrento Drive,--,Clayton,DE,19938,Kent,05,06,Middle,0,0,0,1,1,0,0,"86 Sorrento Drive
Clayton, DE 19938
"
2016,29,14,Appoquinimink School District,Regular,Townsend Elementary School,PUBLIC,PO Box 369,126 Main Street,Townsend,DE,197340369,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 369
Townsend, DE 197340369
"
2016,29,32,Appoquinimink School District,Regular,Old State Elementary School,PUBLIC,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 4010
Odessa, DE 197304010
"
2016,35,775,Woodbridge School District,Regular,Woodbridge Middle School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331034,Sussex,06,08,Middle,0,0,0,0,1,0,0,"307 Laws Street
Bridgeville, DE 199331034
"
2016,35,776,Woodbridge School District,Regular,Woodbridge Early Childhood Education Center,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PR,02,Elementary,1,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2016,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,13,High,0,0,0,0,0,1,0,"PO Box 97
Woodside, DE 199800097
"
2015,10,611,Caesar Rodney School District,Regular,J. Ralph McIlvaine Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2015,10,612,Caesar Rodney School District,Regular,Major George S. Welch Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,01,05,Elementary,0,0,0,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2015,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2015,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2015,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2015,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Dover High Drive,--,Dover,DE,19904,Kent,09,12,High,0,0,0,0,0,1,0,"One Dover High Drive
Dover, DE 19904
"
